time,.id,.scantype,.range,.azimuth1,.azimuth2,.VrelRad,.RCS1,.RCS2,.rangevar,.vrelradvar,.azimuthvar,.SNR
2023/08/08/18:00:47.588557,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.299509048461914, 9.846796989440918, 10.570085525512695, 11.970885276794434, 13.444929122924805, 14.763328552246094, 16.283151626586914, 17.221595764160156, 18.26532745361328, 19.10306167602539, 19.881282806396484, 20.89297103881836, 21.895503997802734, 23.181859970092773, 24.46363639831543, 25.13199234008789, 25.621814727783203, 26.89443588256836, 27.613147735595703, 28.281503677368164, 28.84457015991211)","(-0.5506200194358826, 0.3215705454349518, -0.33499327301979065, 0.6692195534706116, -0.28149405121803284, -0.18178227543830872, -0.8938587307929993, -0.8731493353843689, 0.34592321515083313, -0.7698901295661926, -0.6867649555206299, -0.6476472616195679, -0.616966724395752, -0.57526034116745, -0.5394024848937988, -0.5100641846656799, -0.5505241751670837, -0.48101353645324707, -0.45301753282546997, 1.0954874753952026, -0.42147406935691833)","(0.1848503202199936, -0.4012441039085388, 0.3881089687347412, -0.08628905564546585, 0.44237521290779114, -1.0900224447250366, -0.07440033555030823, -0.05944357067346573, -0.3768914043903351, 0.008628904819488525, 0.06979825347661972, 0.09999942779541016, 0.12684491276741028, 0.16356569528579712, 0.19443799555301666, 0.21994121372699738, 0.184946209192276, 0.24640318751335144, 0.27200227975845337, 0.18408331274986267, 0.302107572555542)","(0.0, 0.0, 0.0, 0.013733329251408577, 0.0, 0.0, 0.0, 0.0, 0.0, -0.004577776417136192, 0.0, -0.004577776417136192, 0.0, 0.0, 0.0, 0.004577776417136192, -0.10071108490228653, 0.004577776417136192, 0.027466658502817154, 0.0, 0.0)","(-28.2052059173584, 18.27448272705078, 8.981596946716309, -30.719932556152344, -30.582597732543945, -24.640644073486328, -4.748680114746094, -11.13620376586914, -27.30796241760254, -14.825891494750977, -7.7333903312683105, -13.11685562133789, -12.216559410095215, -8.407849311828613, -8.761863708496094, -18.973358154296875, -18.597980499267578, -11.770989418029785, -15.503402709960938, 5.874813079833984, -14.398633003234863)","(-35.40452194213867, 19.473861694335938, 9.979552268981934, -40.91921615600586, -26.981414794921875, 2.157658576965332, -24.350719451904297, -28.736228942871094, -27.506332397460938, -28.22657012939453, -17.53288459777832, -22.916349411010742, -21.216466903686523, -15.805536270141602, -15.961180686950684, -25.171667098999023, -25.79729652404785, -16.971343994140625, -19.10458755493164, -20.123905181884766, -16.397594451904297)","(0.027924437075853348, 0.00839259009808302, 0.0006103701889514923, 0.12512588500976562, 0.015259254723787308, 0.037690360099077225, 0.011291848495602608, 0.037690360099077225, 0.12512588500976562, 0.06866664439439774, 0.015259254723787308, 0.02075258642435074, 0.027924437075853348, 0.037690360099077225, 0.02075258642435074, 0.22797326743602753, 0.09277626872062683, 0.037690360099077225, 0.027924437075853348, 0.09277626872062683, 0.09277626872062683)","(0.0198370311409235, 0.012512588873505592, 0.004425183869898319, 0.03509628772735596, 0.0157170332968235, 0.02212592028081417, 0.014038514345884323, 0.02212592028081417, 0.03509628772735596, 0.027924437075853348, 0.0157170332968235, 0.017700735479593277, 0.0198370311409235, 0.02212592028081417, 0.017700735479593277, 0.04425184056162834, 0.031281471252441406, 0.02212592028081417, 0.0198370311409235, 0.031281471252441406, 0.031281471252441406)","(6.103701889514923e-05, 1.5259254723787308e-05, 0.0, 0.0001831110566854477, 3.0518509447574615e-05, 4.577776417136192e-05, 4.577776417136192e-05, 0.00012207403779029846, 0.00012207403779029846, 0.00013733329251408577, 4.577776417136192e-05, 4.577776417136192e-05, 6.103701889514923e-05, 7.629627361893654e-05, 4.577776417136192e-05, 0.0001831110566854477, 0.00012207403779029846, 6.103701889514923e-05, 4.577776417136192e-05, 0.0004425183869898319, 0.00010681478306651115)","(21.700000762939453, 25.0, 34.29999923706055, 16.100000381469727, 23.899999618530273, 20.5, 24.200000762939453, 20.100000381469727, 16.200000762939453, 18.399999618530273, 23.399999618530273, 22.0, 21.5, 20.299999237060547, 22.0, 14.800000190734863, 17.200000762939453, 20.899999618530273, 21.200000762939453, 17.100000381469727, 17.200000762939453)"
2023/08/08/18:00:47.616562,20,"(1, 1, 1, 1)","(9.860530853271484, 14.401684761047363, 17.99981689453125, 26.560258865356445)","(-0.13307689130306244, -0.1615522801876068, -0.19884832203388214, -0.04448680207133293)","(0.09031587839126587, 0.06203224137425423, 0.025694962590932846, 0.17986473441123962)","(0.0, 0.004577776417136192, 0.0, 0.0)","(-7.034516334533691, -31.446271896362305, -35.47471618652344, -29.621265411376953)","(-9.234901428222656, -36.64662551879883, -44.87441635131836, -21.82073402404785)","(0.16891995072364807, 0.23361918330192566, 0.5256813168525696, 0.29801324009895325)","(0.0010681478306651115, 0.002288888208568096, 0.017242958769202232, 0.004272591322660446)","(0.0, 1.5259254723787308e-05, 0.0005798516795039177, 4.577776417136192e-05)","(30.600000381469727, 26.700000762939453, 16.600000381469727, 23.700000762939453)"
2023/08/08/18:00:47.667250,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.33155345916748, 9.851374626159668, 10.556352615356445, 13.472395896911621, 14.79079532623291, 16.031373977661133, 16.800439834594727, 18.141727447509766, 19.510482788085938, 20.87466049194336, 21.81768226623535, 23.021636962890625, 23.941770553588867, 25.28763771057129, 26.592302322387695, 27.452924728393555, 28.922391891479492)","(-0.5491818785667419, 0.32137879729270935, -0.3327881097793579, -0.28619202971458435, -0.18130289018154144, -0.9175402522087097, -0.8877226114273071, 0.32655611634254456, -0.7201300859451294, -0.6483184099197388, -0.6141862869262695, -0.5727675557136536, -0.6122687458992004, -0.5204188823699951, -0.4825475513935089, -0.4661526381969452, -0.42425450682640076)","(0.18600085377693176, -0.40143585205078125, 0.38973888754844666, 0.4380607604980469, -1.0878173112869263, -0.08839833736419678, -0.07056526839733124, -0.3957791328430176, 0.043719787150621414, 0.09942416101694107, 0.12943357229232788, 0.16625024378299713, 0.13077585399150848, 0.211024671792984, 0.24506090581417084, 0.25934654474258423, 0.299518883228302)","(0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.009155552834272385, 0.0, 0.0, 0.004577776417136192, 0.013733329251408577, -0.004577776417136192, 0.009155552834272385, 0.01831110566854477, 0.0, 0.009155552834272385, 0.0, 0.0)","(-28.601947784423828, 18.41792106628418, 7.2695088386535645, -29.82879066467285, -25.089265823364258, -1.7334513664245605, -4.95315408706665, -27.695547103881836, -10.406811714172363, -8.914456367492676, -11.154515266418457, -7.162693977355957, -17.593921661376953, -9.326456069946289, -10.849329948425293, -6.091494560241699, -10.562456130981445)","(-35.80126190185547, 19.617298126220703, 8.270516395568848, -26.630451202392578, 1.7090365886688232, -22.135074615478516, -23.950925827026367, -27.09433364868164, -21.80852699279785, -18.71394920349121, -20.154422760009766, -14.362010955810547, -26.593830108642578, -15.726187705993652, -16.049684524536133, -10.0924711227417, -12.762840270996094)","(0.027924437075853348, 0.00839259009808302, 0.00045777764171361923, 0.02075258642435074, 0.05081331729888916, 0.0025940733030438423, 0.02075258642435074, 0.12512588500976562, 0.027924437075853348, 0.00839259009808302, 0.02075258642435074, 0.037690360099077225, 0.06866664439439774, 0.011291848495602608, 0.037690360099077225, 0.0025940733030438423, 0.05081331729888916)","(0.0158696249127388, 0.010071108117699623, 0.0032044434919953346, 0.014191106893122196, 0.019989624619483948, 0.006408886983990669, 0.014191106893122196, 0.028229622170329094, 0.0158696249127388, 0.010071108117699623, 0.014191106893122196, 0.017853328958153725, 0.022431105375289917, 0.011291848495602608, 0.017853328958153725, 0.006408886983990669, 0.019989624619483948)","(6.103701889514923e-05, 1.5259254723787308e-05, 0.0, 3.0518509447574615e-05, 6.103701889514923e-05, 1.5259254723787308e-05, 7.629627361893654e-05, 0.00012207403779029846, 7.629627361893654e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 7.629627361893654e-05, 0.00010681478306651115, 3.0518509447574615e-05, 6.103701889514923e-05, 1.5259254723787308e-05, 7.629627361893654e-05)","(21.799999237060547, 25.200000762939453, 35.29999923706055, 22.200000762939453, 20.0, 30.0, 22.899999618530273, 16.100000381469727, 21.600000381469727, 25.200000762939453, 22.600000381469727, 20.799999237060547, 18.100000381469727, 24.899999618530273, 20.299999237060547, 29.0, 19.5)"
2023/08/08/18:00:47.696369,20,"(1, 1, 1, 1)","(9.842219352722168, 14.401684761047363, 15.64226245880127, 26.528213500976562)","(-0.13259750604629517, -0.16164815425872803, 0.00153402762953192, -0.04419916868209839)","(0.09079525619745255, 0.06193636357784271, -0.2239680290222168, 0.18015237152576447)","(0.004577776417136192, 0.004577776417136192, 0.009155552834272385, 0.009155552834272385)","(-7.171849727630615, -31.58360481262207, -41.54789733886719, -29.520553588867188)","(-9.372234344482422, -36.783958435058594, -29.346599578857422, -21.72307586669922)","(0.16891995072364807, 0.23361918330192566, 0.44694358110427856, 0.3231910169124603)","(0.0012207403779029846, 0.0028992583975195885, 0.014038514345884323, 0.006256294436752796)","(0.0, 1.5259254723787308e-05, 0.00027466658502817154, 6.103701889514923e-05)","(30.700000762939453, 26.799999237060547, 18.899999618530273, 22.899999618530273)"
2023/08/08/18:00:47.737631,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.299509048461914, 9.851374626159668, 10.711997032165527, 11.970885276794434, 12.529374122619629, 13.426618576049805, 14.79079532623291, 15.729239463806152, 16.67683982849121, 17.9769287109375, 19.519638061523438, 20.1605281829834, 21.025726318359375, 21.82683753967285, 22.67372703552246, 24.523147583007812, 25.090791702270508, 26.615192413330078, 27.352214813232422, 28.23572540283203, 29.004791259765625)","(-0.5491818785667419, 0.32185816764831543, -0.34793663024902344, -0.07411270588636398, 0.313996285200119, -0.2884930670261383, -1.0860915184020996, -0.9100618958473206, -0.8925164341926575, 0.7451539039611816, -0.726457953453064, -0.6773690581321716, -0.6419905424118042, -0.6153368353843689, -0.5805335640907288, -0.5889707207679749, -0.5285683870315552, -0.4908888339996338, -0.47305575013160706, 1.084653377532959, -0.4133245646953583)","(0.18600085377693176, -0.4009564518928528, 0.37593263387680054, 0.6870526075363159, -0.40843483805656433, 0.4356638491153717, -0.18053586781024933, -0.08427564054727554, -0.07363332808017731, 0.3269396424293518, 0.03892594948410988, 0.07660550624132156, 0.1047932580113411, 0.1281871795654297, 0.1594429910182953, 0.1529233753681183, 0.2037380337715149, 0.23796603083610535, 0.252731055021286, 0.5623170137405396, 0.3092024326324463)","(0.0, 0.004577776417136192, 0.0, -0.004577776417136192, 0.013733329251408577, 0.0, 0.0, 0.0, 0.0, -0.013733329251408577, 0.0, 0.004577776417136192, 0.02288888208568096, 0.0, 0.0, -0.10528885573148727, 0.0, 0.0, -0.004577776417136192, 0.0, 0.004577776417136192)","(-28.293710708618164, 18.085268020629883, 5.55742073059082, -39.44517517089844, -35.294654846191406, -30.765708923339844, 2.1210362911224365, -8.944974899291992, -3.9613025188446045, -18.076112747192383, -9.811700820922852, -12.115848541259766, -10.0863676071167, -12.08533000946045, -12.271492958068848, -19.196142196655273, -13.373210906982422, -11.377300262451172, -10.510574340820312, 4.6632280349731445, -14.056825637817383)","(-35.49607849121094, 19.28464698791504, 5.957212924957275, -28.843042373657227, -33.893856048583984, -27.964109420776367, -24.67726707458496, -28.943754196166992, -23.361919403076172, -27.875606536865234, -21.411787033081055, -21.716970443725586, -19.885860443115234, -21.085237503051758, -19.870601654052734, -27.396465301513672, -20.1757869720459, -17.175817489624023, -15.11276626586914, -14.33454418182373, -15.65599536895752)","(0.02075258642435074, 0.00839259009808302, 0.027924437075853348, 0.09277626872062683, 0.22797326743602753, 0.037690360099077225, 0.037690360099077225, 0.05081331729888916, 0.015259254723787308, 0.12512588500976562, 0.02075258642435074, 0.011291848495602608, 0.02075258642435074, 0.02075258642435074, 0.05081331729888916, 0.16891995072364807, 0.027924437075853348, 0.05081331729888916, 0.011291848495602608, 0.09277626872062683, 0.05081331729888916)","(0.01541184727102518, 0.010986663401126862, 0.017242958769202232, 0.027314066886901855, 0.038605913519859314, 0.019379254430532455, 0.019379254430532455, 0.021668141707777977, 0.013733329251408577, 0.030671102926135063, 0.01541184727102518, 0.012207403779029846, 0.01541184727102518, 0.01541184727102518, 0.021668141707777977, 0.03433332219719887, 0.017242958769202232, 0.021668141707777977, 0.012207403779029846, 0.027314066886901855, 0.021668141707777977)","(4.577776417136192e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 9.155552834272385e-05, 0.00015259254723787308, 4.577776417136192e-05, 0.00022888882085680962, 0.00015259254723787308, 6.103701889514923e-05, 0.0002136295661330223, 6.103701889514923e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 4.577776417136192e-05, 9.155552834272385e-05, 0.000198370311409235, 4.577776417136192e-05, 7.629627361893654e-05, 3.0518509447574615e-05, 0.0004272591322660446, 7.629627361893654e-05)","(22.200000762939453, 25.200000762939453, 21.799999237060547, 17.299999237060547, 14.800000190734863, 20.5, 20.399999618530273, 19.200000762939453, 23.899999618530273, 16.600000381469727, 22.600000381469727, 25.0, 22.299999237060547, 22.200000762939453, 19.899999618530273, 15.199999809265137, 21.299999237060547, 19.399999618530273, 24.299999237060547, 17.100000381469727, 19.700000762939453)"
2023/08/08/18:00:47.776474,20,"(1, 1, 1, 1)","(9.823907852172852, 14.401684761047363, 15.779595375061035, 26.651813507080078)","(-0.13202224671840668, -0.16164815425872803, 0.0013422741321846843, -0.04439092427492142)","(0.09146639704704285, 0.06203224137425423, -0.224063903093338, 0.17986473441123962)","(0.0, 0.0, 0.009155552834272385, 0.0)","(-7.547227382659912, -31.13803482055664, -41.038238525390625, -29.364910125732422)","(-9.546189308166504, -36.3383903503418, -28.839990615844727, -21.56437873840332)","(0.16891995072364807, 0.23361918330192566, 0.4121524691581726, 0.27481916546821594)","(0.0012207403779029846, 0.0025940733030438423, 0.010681478306651115, 0.0039674062281847)","(0.0, 1.5259254723787308e-05, 0.0001831110566854477, 3.0518509447574615e-05)","(30.899999618530273, 26.600000381469727, 19.899999618530273, 24.100000381469727)"
2023/08/08/18:00:47.817405,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.326974868774414, 9.846796989440918, 10.583819389343262, 11.970885276794434, 13.22519588470459, 13.861507415771484, 14.804529190063477, 15.541550636291504, 16.69972801208496, 17.72515106201172, 18.480484008789062, 19.9774169921875, 20.18341636657715, 21.8405704498291, 22.719505310058594, 23.387859344482422, 24.358348846435547, 25.223548889160156, 26.509902954101562, 27.448347091674805, 28.1624813079834, 28.87661361694336)","(-0.5506200194358826, 0.3217622935771942, -0.3360479176044464, 0.680149495601654, -0.29654669761657715, -0.2779466211795807, -1.0851327180862427, -1.0002819299697876, -0.8936669826507568, 1.0102530717849731, -0.7158156037330627, -0.6770814061164856, -0.40929773449897766, -0.6153368353843689, -0.5893542170524597, -0.5586736798286438, -0.53154057264328, -0.5079548954963684, -0.492135226726532, -0.47641146183013916, 0.21859893202781677, -0.42300811409950256)","(0.18475444614887238, -0.4010523557662964, 0.38695845007896423, -0.07861891388893127, 0.4278019368648529, 0.4454432725906372, -0.18005648255348206, -0.13624082505702972, -0.07430446147918701, 0.1412264108657837, 0.0468837171792984, 0.076797254383564, 0.3132292628288269, 0.12847481667995453, 0.15263575315475464, 0.17804308235645294, 0.2012452483177185, 0.22157111763954163, 0.23681551218032837, 0.2500464916229248, 1.1743940114974976, 0.30057352781295776)","(0.0, 0.0, 0.0, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.013733329251408577, -0.004577776417136192, 0.0, 0.0, 0.004577776417136192, 0.0, -0.004577776417136192, 0.0, 0.0, 0.004577776417136192, -0.009155552834272385, 0.004577776417136192, 0.004577776417136192)","(-28.128910064697266, 18.22870635986328, 8.737449645996094, -27.57652473449707, -31.241798400878906, -34.717857360839844, 2.603228807449341, -6.689657211303711, -4.7364726066589355, -10.35187816619873, -18.735313415527344, -13.705862998962402, -19.846187591552734, -15.381328582763672, -9.9124116897583, -8.734397888183594, -9.939878463745117, -17.856380462646484, -13.245033264160156, -13.12601089477539, -15.57359504699707, -13.779107093811035)","(-35.32822799682617, 19.428083419799805, 9.338664054870605, -37.97723388671875, -28.843042373657227, -30.918302536010742, -24.1920223236084, -29.691457748413086, -24.338510513305664, -35.9508056640625, -29.935606002807617, -23.30698585510254, -21.246986389160156, -24.381237030029297, -18.112735748291016, -15.732291221618652, -16.739402770996094, -24.057741165161133, -19.043550491333008, -17.926572799682617, 12.421032905578613, -15.979491233825684)","(0.027924437075853348, 0.00839259009808302, 0.0010681478306651115, 0.06866664439439774, 0.06866664439439774, 0.05081331729888916, 0.037690360099077225, 0.027924437075853348, 0.015259254723787308, 0.16891995072364807, 0.06866664439439774, 0.015259254723787308, 0.037690360099077225, 0.037690360099077225, 0.00839259009808302, 0.027924437075853348, 0.006256294436752796, 0.09277626872062683, 0.05081331729888916, 0.037690360099077225, 0.00839259009808302, 0.05081331729888916)","(0.01907406933605671, 0.012054811231791973, 0.005340739153325558, 0.02685628831386566, 0.02685628831386566, 0.023957030847668648, 0.02136295661330223, 0.01907406933605671, 0.015106662176549435, 0.03799554333090782, 0.02685628831386566, 0.015106662176549435, 0.02136295661330223, 0.02136295661330223, 0.012054811231791973, 0.01907406933605671, 0.010681478306651115, 0.03021332435309887, 0.023957030847668648, 0.02136295661330223, 0.012054811231791973, 0.023957030847668648)","(6.103701889514923e-05, 1.5259254723787308e-05, 0.0, 0.00012207403779029846, 7.629627361893654e-05, 6.103701889514923e-05, 0.00022888882085680962, 0.00013733329251408577, 6.103701889514923e-05, 0.0005035554058849812, 0.00013733329251408577, 4.577776417136192e-05, 6.103701889514923e-05, 7.629627361893654e-05, 3.0518509447574615e-05, 6.103701889514923e-05, 1.5259254723787308e-05, 0.00012207403779029846, 7.629627361893654e-05, 6.103701889514923e-05, 1.5259254723787308e-05, 7.629627361893654e-05)","(21.299999237060547, 25.200000762939453, 32.400001525878906, 18.399999618530273, 19.0, 19.399999618530273, 20.600000381469727, 21.200000762939453, 23.200000762939453, 15.199999809265137, 18.399999618530273, 24.0, 21.0, 20.899999618530273, 25.100000381469727, 21.399999618530273, 27.0, 17.700000762939453, 19.100000381469727, 20.799999237060547, 25.799999237060547, 19.100000381469727)"
2023/08/08/18:00:47.847118,20,"(1, 1, 1, 1)","(9.846796989440918, 14.401684761047363, 15.953551292419434, 26.532793045043945)","(-0.1327892690896988, -0.16299043595790863, -0.00076701381476596, -0.043144527822732925)","(0.09060350805521011, 0.060785844922065735, 0.2246391624212265, 0.18120701611042023)","(0.0, 0.004577776417136192, 0.004577776417136192, 0.0)","(-7.068086624145508, -31.598865509033203, -41.53874206542969, -29.364910125732422)","(-9.268471717834473, -37.000640869140625, -28.940702438354492, -21.362957000732422)","(0.16891995072364807, 0.23361918330192566, 0.4121524691581726, 0.3231910169124603)","(0.0010681478306651115, 0.0024414807558059692, 0.009765923023223877, 0.005340739153325558)","(0.0, 1.5259254723787308e-05, 0.0001831110566854477, 6.103701889514923e-05)","(30.700000762939453, 26.399999618530273, 19.700000762939453, 22.899999618530273)"
2023/08/08/18:00:47.887641,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.313241958618164, 9.846796989440918, 10.570085525512695, 11.760307312011719, 12.620929718017578, 13.463240623474121, 14.77248477935791, 16.379283905029297, 16.66768455505371, 18.44386100769043, 20.1605281829834, 20.68239402770996, 21.419416427612305, 22.70577049255371, 23.941770553588867, 24.779502868652344, 25.008392333984375, 26.44123649597168, 27.471237182617188, 28.807947158813477)","(-0.5511952638626099, 0.321666419506073, -0.3325963616371155, 0.32070764899253845, 0.31102409958839417, -0.29280751943588257, -0.18149463832378387, -0.8971185088157654, -0.8928999304771423, -0.7442910075187683, -0.6728628277778625, -0.6693153977394104, -0.6661514639854431, -0.581108808517456, -0.5345127582550049, -0.5216652750968933, -0.5146662592887878, -0.4950115382671356, -0.4655773639678955, -0.4120781719684601)","(0.1842750608921051, -0.4011482298374176, 0.38983476161956787, -0.40210697054862976, -0.41188642382621765, 0.43134939670562744, -1.089543104171753, -0.07650962471961975, -0.07382507622241974, 0.026270221918821335, 0.08024881780147552, 0.08293336629867554, 0.08494678139686584, 0.15896360576152802, 0.19817718863487244, 0.2096824049949646, 0.21601025760173798, 0.23422683775424957, 0.2599217891693115, 0.3104488253593445)","(0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.03662221133708954, 0.004577776417136192, 0.0, 0.009155552834272385, 0.004577776417136192, 0.004577776417136192)","(-28.315073013305664, 18.396556854248047, 7.238990306854248, -31.617176055908203, -33.41776657104492, -29.087190628051758, -25.064851760864258, -6.070131301879883, -4.284798622131348, -17.31009864807129, -10.144352912902832, -7.55943489074707, -15.262306213378906, -12.86050033569336, -11.331522941589355, -9.57365608215332, -8.236946105957031, -10.156559944152832, -10.296945571899414, -13.65398120880127)","(-35.51438903808594, 19.595935821533203, 8.236946105957031, -30.41779899597168, -32.0169677734375, -26.487014770507812, 1.730399489402771, -25.669118881225586, -23.685415267944336, -29.30997657775879, -19.54405403137207, -17.157506942749023, -24.86343002319336, -20.45960807800293, -18.329416275024414, -15.973387718200684, -14.43525505065918, -15.756706237792969, -14.297922134399414, -15.054780960083008)","(0.02075258642435074, 0.00839259009808302, 0.0006103701889514923, 0.06866664439439774, 0.12512588500976562, 0.037690360099077225, 0.037690360099077225, 0.011291848495602608, 0.015259254723787308, 0.037690360099077225, 0.004577776417136192, 0.001831110566854477, 0.02075258642435074, 0.05081331729888916, 0.037690360099077225, 0.011291848495602608, 0.015259254723787308, 0.027924437075853348, 0.006256294436752796, 0.06866664439439774)","(0.014038514345884323, 0.00991851557046175, 0.0035096285864710808, 0.02212592028081417, 0.0277718435972929, 0.01754814386367798, 0.01754814386367798, 0.011139255948364735, 0.012512588873505592, 0.01754814386367798, 0.0079348124563694, 0.005645924247801304, 0.014038514345884323, 0.0196844395250082, 0.01754814386367798, 0.011139255948364735, 0.012512588873505592, 0.0157170332968235, 0.008850367739796638, 0.02212592028081417)","(4.577776417136192e-05, 1.5259254723787308e-05, 0.0, 7.629627361893654e-05, 0.00012207403779029846, 4.577776417136192e-05, 4.577776417136192e-05, 4.577776417136192e-05, 6.103701889514923e-05, 9.155552834272385e-05, 1.5259254723787308e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 9.155552834272385e-05, 6.103701889514923e-05, 3.0518509447574615e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 9.155552834272385e-05)","(22.0, 25.200000762939453, 34.20000076293945, 18.100000381469727, 16.799999237060547, 20.899999618530273, 20.200000762939453, 24.100000381469727, 23.799999237060547, 20.200000762939453, 27.0, 30.100000381469727, 22.399999618530273, 19.899999618530273, 20.200000762939453, 24.600000381469727, 23.100000381469727, 21.100000381469727, 26.100000381469727, 18.799999237060547)"
2023/08/08/18:00:47.926819,20,"(1, 1, 1, 1)","(9.860530853271484, 14.401684761047363, 15.839106559753418, 26.66097068786621)","(-0.13307689130306244, -0.16059350967407227, 0.0002876301878131926, -0.04381566494703293)","(0.09021999686956406, 0.06299100816249847, 0.2259814441204071, 0.18053586781024933)","(0.0, 0.0, 0.004577776417136192, 0.004577776417136192)","(-7.000946044921875, -31.611072540283203, -41.70659637451172, -28.980377197265625)","(-9.201330184936523, -36.811424255371094, -28.907133102416992, -21.182897567749023)","(0.16891995072364807, 0.23361918330192566, 0.4121524691581726, 0.29801324009895325)","(0.0012207403779029846, 0.0028992583975195885, 0.011597033590078354, 0.005188146606087685)","(0.0, 1.5259254723787308e-05, 0.0001831110566854477, 4.577776417136192e-05)","(30.700000762939453, 26.5, 19.399999618530273, 23.600000381469727)"
