time,.id,.scantype,.range,.azimuth1,.azimuth2,.VrelRad,.RCS1,.RCS2,.rangevar,.vrelradvar,.azimuthvar,.SNR
2023/08/08/18:11:19.369730,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34070873260498, 9.196752548217773, 10.121463775634766, 11.723685264587402, 13.934751510620117, 14.204840660095215, 15.463728904724121, 16.736351013183594, 18.21955108642578, 18.90163803100586, 19.908750534057617, 20.975372314453125, 21.8405704498291, 22.66457176208496, 23.97381591796875, 24.779502868652344, 25.365459442138672, 26.322214126586914, 27.599414825439453, 28.26776885986328, 28.85372543334961)","(-0.5487983822822571, -0.045157939195632935, 0.054266225546598434, -0.05963532254099846, 0.5242539048194885, -0.30124467611312866, -0.21792779862880707, -0.8908865451812744, -0.8004747629165649, -0.8464956283569336, -0.7038310170173645, -0.6705617904663086, -0.6788071990013123, -0.5533045530319214, -0.566439688205719, -0.5819717049598694, -0.5015311241149902, -0.4907929599285126, -0.4608794152736664, 1.1230040788650513, -0.4181183874607086)","(0.18638435006141663, -0.8478378653526306, 0.8653833270072937, -0.8734369874000549, -0.20929889380931854, 0.4219534695148468, -1.171325922012329, -0.07257868349552155, -0.011792837642133236, -0.40795546770095825, 0.05618375912308693, 0.08178284764289856, 0.07535910606384277, 0.1823575347661972, 0.17152346670627594, 0.1582924723625183, 0.2272278368473053, 0.23806190490722656, 0.2644280195236206, 0.19673903286457062, 0.30431273579597473)","(0.0, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, -0.004577776417136192, -0.004577776417136192, -0.01831110566854477, 0.0, -0.004577776417136192, 0.01831110566854477, -0.004577776417136192, 0.004577776417136192, 0.0, 0.0)","(-29.035310745239258, -41.93853759765625, -22.299875259399414, -40.095218658447266, 10.263374328613281, 5.4170355796813965, -29.435102462768555, -4.083376407623291, -9.289834022521973, -16.1778621673584, -13.064973831176758, -13.361003875732422, -18.979461669921875, -4.4221320152282715, -13.498336791992188, -19.8187198638916, -15.13412857055664, -13.534958839416504, -7.080294132232666, 8.682516098022461, -14.117862701416016)","(-36.23767852783203, -24.738304138183594, -3.698843240737915, -22.495193481445312, 4.2634358406066895, 7.4190497398376465, -1.0376293659210205, -23.483993530273438, -24.289682388305664, -29.377117156982422, -24.066896438598633, -22.962125778198242, -28.577531814575195, -11.423078536987305, -20.69765281677246, -27.417829513549805, -21.13406753540039, -19.33652687072754, -11.081271171569824, -17.712942123413086, -16.116825103759766)","(0.02075258642435074, 0.05081331729888916, 0.027924437075853348, 0.06866664439439774, 0.015259254723787308, 0.06866664439439774, 0.02075258642435074, 0.015259254723787308, 0.05081331729888916, 0.09277626872062683, 0.037690360099077225, 0.011291848495602608, 0.06866664439439774, 0.037690360099077225, 0.037690360099077225, 0.12512588500976562, 0.09277626872062683, 0.05081331729888916, 0.0013733329251408577, 0.05081331729888916, 0.05081331729888916)","(0.014191106893122196, 0.020142216235399246, 0.016022218391299248, 0.022583696991205215, 0.012665181420743465, 0.022583696991205215, 0.014191106893122196, 0.012665181420743465, 0.020142216235399246, 0.02533036284148693, 0.017853328958153725, 0.011291848495602608, 0.022583696991205215, 0.017853328958153725, 0.017853328958153725, 0.028382213786244392, 0.02533036284148693, 0.020142216235399246, 0.0050355540588498116, 0.020142216235399246, 0.020142216235399246)","(4.577776417136192e-05, 6.103701889514923e-05, 4.577776417136192e-05, 7.629627361893654e-05, 3.0518509447574615e-05, 7.629627361893654e-05, 3.0518509447574615e-05, 6.103701889514923e-05, 0.00012207403779029846, 0.0002136295661330223, 9.155552834272385e-05, 3.0518509447574615e-05, 0.00012207403779029846, 6.103701889514923e-05, 6.103701889514923e-05, 0.00016785180196166039, 0.00012207403779029846, 7.629627361893654e-05, 0.0, 0.00032044434919953346, 7.629627361893654e-05)","(22.0, 19.600000381469727, 21.600000381469727, 18.0, 23.899999618530273, 18.700000762939453, 22.200000762939453, 23.200000762939453, 19.799999237060547, 17.600000381469727, 20.299999237060547, 24.399999618530273, 18.799999237060547, 20.5, 20.899999618530273, 16.799999237060547, 18.0, 19.100000381469727, 31.600000381469727, 19.700000762939453, 19.799999237060547)"
2023/08/08/18:11:19.407997,20,"(1, 1, 1)","(10.016175270080566, 14.191106796264648, 26.555681228637695)","(0.05321158096194267, 0.15915536880493164, -0.040268223732709885)","(-0.17094820737838745, -0.06452503800392151, 0.18408331274986267)","(0.0, 0.0, 0.0)","(-25.99566650390625, -8.679464340209961, -30.329294204711914)","(-19.7973575592041, -14.279610633850098, -22.128971099853516)","(0.10391552746295929, 0.1832636445760727, 0.3801080286502838)","(0.00030518509447574615, 0.0015259254723787308, 0.009308145381510258)","(0.0, 0.0, 0.00013733329251408577)","(36.5, 29.899999618530273, 20.0)"
2023/08/08/18:11:19.449302,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.363597869873047, 9.288308143615723, 10.121463775634766, 11.810663223266602, 13.943906784057617, 14.204840660095215, 15.349284172058105, 16.740928649902344, 18.150882720947266, 19.74394989013672, 20.938749313354492, 22.68745994567871, 24.779502868652344, 26.134525299072266, 26.940214157104492, 27.613147735595703, 28.299814224243164, 28.606525421142578, 29.398479461669922)","(-0.5493736267089844, 0.697790801525116, 0.05436210334300995, 0.698078453540802, 0.5232951641082764, -0.30057352781295776, -0.22118760645389557, -0.8882020115852356, -0.8026799559593201, -0.7116929292678833, -0.6493730545043945, -0.5518664121627808, -0.5138992667198181, -0.4917517304420471, -0.6007635593414307, -0.45733198523521423, 1.1134164333343506, -0.4395947754383087, -0.42233696579933167)","(0.18571321666240692, -0.06625081598758698, 0.8654791712760925, -0.06605906039476395, -0.21016177535057068, 0.4226246178150177, -1.1794754266738892, -0.07085289806127548, -0.013326864689588547, 0.04976002126932144, 0.09865715354681015, 0.1836998015642166, 0.21668140590190887, 0.23719902336597443, 0.14180167019367218, 0.26787957549095154, 0.1920410841703415, 0.28494563698768616, 0.30124467611312866)","(0.004577776417136192, 0.013733329251408577, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.004577776417136192, 0.013733329251408577, 0.004577776417136192, 0.02288888208568096, 0.013733329251408577, 0.0, -0.004577776417136192, 0.0)","(-29.056673049926758, -30.85726547241211, -22.345653533935547, -28.1716365814209, 10.190130233764648, 5.55742073059082, -29.99053955078125, -4.974516868591309, -11.316263198852539, -13.028351783752441, -13.098544120788574, -1.3580737113952637, -13.715018272399902, -12.848292350769043, -17.487106323242188, -11.310159683227539, 8.288826942443848, -11.334574699401855, -17.13919448852539)","(-36.25904083251953, -41.65471267700195, -3.7446210384368896, -38.972137451171875, 4.190191268920898, 7.55943489074707, -1.39164400100708, -23.975341796875, -26.718955993652344, -24.22559356689453, -22.90108871459961, -8.557390213012695, -19.913328170776367, -18.649860382080078, -26.087221145629883, -15.10971450805664, -17.908262252807617, -14.33454418182373, -19.14120864868164)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.09277626872062683, 0.015259254723787308, 0.06866664439439774, 0.037690360099077225, 0.02075258642435074, 0.06866664439439774, 0.027924437075853348, 0.015259254723787308, 0.037690360099077225, 0.037690360099077225, 0.05081331729888916, 0.06866664439439774, 0.004577776417136192, 0.037690360099077225, 0.011291848495602608, 0.06866664439439774)","(0.01739555038511753, 0.021973326802253723, 0.01739555038511753, 0.0276192519813776, 0.01388592179864645, 0.02456740103662014, 0.019531846046447754, 0.015564439818263054, 0.02456740103662014, 0.01739555038511753, 0.01388592179864645, 0.019531846046447754, 0.019531846046447754, 0.021973326802253723, 0.02456740103662014, 0.008697775192558765, 0.019531846046447754, 0.01235999632626772, 0.02456740103662014)","(6.103701889514923e-05, 0.00010681478306651115, 4.577776417136192e-05, 0.00015259254723787308, 3.0518509447574615e-05, 7.629627361893654e-05, 4.577776417136192e-05, 7.629627361893654e-05, 0.00015259254723787308, 7.629627361893654e-05, 4.577776417136192e-05, 6.103701889514923e-05, 6.103701889514923e-05, 7.629627361893654e-05, 0.00010681478306651115, 1.5259254723787308e-05, 0.0002441480755805969, 3.0518509447574615e-05, 9.155552834272385e-05)","(22.0, 19.200000762939453, 21.600000381469727, 17.700000762939453, 23.799999237060547, 18.399999618530273, 20.700000762939453, 22.5, 18.799999237060547, 21.100000381469727, 23.299999237060547, 20.700000762939453, 20.399999618530273, 19.200000762939453, 18.100000381469727, 27.600000381469727, 20.0, 24.299999237060547, 19.0)"
2023/08/08/18:11:19.477999,20,"(1, 1, 1)","(10.016175270080566, 14.195684432983398, 26.729637145996094)","(0.05330745875835419, 0.15915536880493164, -0.03892594948410988)","(-0.17085231840610504, -0.06462091207504272, 0.18542557954788208)","(0.0, 0.0, 0.0)","(-25.937681198120117, -8.636737823486328, -30.646686553955078)","(-19.73632049560547, -14.236885070800781, -22.24494171142578)","(0.10391552746295929, 0.1832636445760727, 0.3801080286502838)","(0.00030518509447574615, 0.0013733329251408577, 0.008545182645320892)","(0.0, 0.0, 0.00013733329251408577)","(36.5, 29.799999237060547, 20.600000381469727)"
2023/08/08/18:11:19.519345,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.326974868774414, 9.320352554321289, 10.116886138916016, 11.705374717712402, 13.934751510620117, 14.204840660095215, 15.344706535339355, 16.736351013183594, 18.2058162689209, 18.90163803100586, 19.53337287902832, 21.222572326660156, 23.021636962890625, 23.941770553588867, 25.200658798217773, 26.45954704284668, 26.69759178161621, 28.469192504882812, 29.398479461669922)","(-0.5478395819664001, 0.6924217343330383, 0.05436210334300995, -0.059155941009521484, 0.5241580605506897, -0.30124467611312866, -0.22473503649234772, -0.8869555592536926, -0.7975984811782837, -0.835949182510376, -0.721855878829956, -0.6503318548202515, -0.5757397413253784, -0.5575231313705444, -0.549469530582428, -0.48877954483032227, -0.48791664838790894, -0.436239093542099, -0.42348748445510864)","(0.18724724650382996, -0.07085289806127548, 0.8654791712760925, -0.8726699352264404, -0.20939476788043976, 0.4219534695148468, -1.1906930208206177, -0.07008588314056396, -0.009683549404144287, -0.03633727878332138, 0.042281635105609894, 0.09779425710439682, 0.16318218410015106, 0.1790977269411087, 0.1856173425912857, 0.23988357186317444, 0.24074645340442657, 0.28878068923950195, 0.3001900315284729)","(0.0, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.032044436782598495, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.004577776417136192, 0.0)","(-28.839990615844727, -30.68025779724121, -22.321237564086914, -41.43803405761719, 10.254219055175781, 5.465865135192871, -30.28046417236328, -5.4261908531188965, -11.850337028503418, -12.579730033874512, -13.052766799926758, -9.280678749084473, -4.864650249481201, -9.494308471679688, -19.53795051574707, -9.8910493850708, -6.964323997497559, -9.247108459472656, -12.689596176147461)","(-36.039306640625, -41.08096694946289, -3.7202062606811523, -23.8380069732666, 4.254280090332031, 7.464827537536621, -1.4801477193832397, -24.42701530456543, -26.85018539428711, -29.57853889465332, -24.45142936706543, -19.080171585083008, -12.265388488769531, -16.492202758789062, -26.737266540527344, -15.692617416381836, -12.762840270996094, -12.045655250549316, -14.88998031616211)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.12512588500976562, 0.015259254723787308, 0.06866664439439774, 0.05081331729888916, 0.02075258642435074, 0.06866664439439774, 0.027924437075853348, 0.027924437075853348, 0.006256294436752796, 0.027924437075853348, 0.027924437075853348, 0.09277626872062683, 0.037690360099077225, 0.05081331729888916, 0.015259254723787308, 0.05081331729888916)","(0.019531846046447754, 0.02456740103662014, 0.019531846046447754, 0.03479110077023506, 0.015564439818263054, 0.0276192519813776, 0.02456740103662014, 0.01739555038511753, 0.0276192519813776, 0.019531846046447754, 0.019531846046447754, 0.010986663401126862, 0.019531846046447754, 0.019531846046447754, 0.03097628802061081, 0.021973326802253723, 0.02456740103662014, 0.015564439818263054, 0.02456740103662014)","(6.103701889514923e-05, 0.00010681478306651115, 4.577776417136192e-05, 0.00012207403779029846, 3.0518509447574615e-05, 7.629627361893654e-05, 6.103701889514923e-05, 7.629627361893654e-05, 0.00015259254723787308, 9.155552834272385e-05, 7.629627361893654e-05, 1.5259254723787308e-05, 6.103701889514923e-05, 6.103701889514923e-05, 0.00012207403779029846, 6.103701889514923e-05, 7.629627361893654e-05, 3.0518509447574615e-05, 7.629627361893654e-05)","(21.899999618530273, 19.5, 21.600000381469727, 16.299999237060547, 23.899999618530273, 18.600000381469727, 19.700000762939453, 22.700000762939453, 18.600000381469727, 21.299999237060547, 21.799999237060547, 26.200000762939453, 21.399999618530273, 21.700000762939453, 17.799999237060547, 20.200000762939453, 19.899999618530273, 23.5, 20.0)"
2023/08/08/18:11:19.558223,20,"(1, 1, 1)","(10.016175270080566, 14.204840660095215, 26.65639305114746)","(0.0534033365547657, 0.15905947983264923, -0.038063060492277145)","(-0.17075644433498383, -0.06462091207504272, 0.1862884759902954)","(0.0, 0.0, 0.0)","(-25.99261474609375, -8.655049324035645, -30.991546630859375)","(-19.7912540435791, -14.255195617675781, -22.589799880981445)","(0.10391552746295929, 0.1832636445760727, 0.3801080286502838)","(0.00030518509447574615, 0.0012207403779029846, 0.007782219909131527)","(0.0, 0.0, 0.00013733329251408577)","(36.5, 29.5, 20.399999618530273)"
2023/08/08/18:11:19.599257,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34070873260498, 9.196752548217773, 10.126041412353516, 11.737419128417969, 13.939329147338867, 14.204840660095215, 15.486618041992188, 16.70888328552246, 18.26074981689453, 18.90163803100586, 19.666128158569336, 20.998260498046875, 22.540971755981445, 23.923460006713867, 25.159460067749023, 26.528213500976562, 27.53990364074707, 28.27234649658203, 29.055147171020508, 29.81963539123535)","(-0.5464014410972595, -0.8470708727836609, 0.05445798113942146, -0.05723840370774269, 0.5242539048194885, -0.30114880204200745, -0.21370922029018402, -0.8870514631271362, -0.7901200652122498, -0.839880108833313, -0.7214723825454712, -0.6379637122154236, -0.569028377532959, -0.5695077180862427, -0.5231992602348328, -0.4883001744747162, -0.4630845785140991, 1.0813935995101929, -0.4245421290397644, -0.4277060627937317)","(0.18849363923072815, -0.04458267614245415, 0.8656709790229797, -0.8696977496147156, -0.20929889380931854, 0.422049343585968, -1.159628987312317, -0.07018176466226578, -0.004793836269527674, -0.03930945694446564, 0.04266514256596565, 0.10853245109319687, 0.16941417753696442, 0.16903066635131836, 0.208340123295784, 0.2402670681476593, 0.26260635256767273, 0.17785131931304932, 0.29932713508605957, 0.2968343496322632)","(0.0, 0.0, 0.0, 0.013733329251408577, 0.0, 0.0, 0.0, 0.004577776417136192, 0.0, -0.009155552834272385, 0.0, 0.0, 0.02288888208568096, 0.009155552834272385, 0.0, 0.009155552834272385, 0.009155552834272385, 0.0, 0.009155552834272385, 0.009155552834272385)","(-28.800317764282227, -24.84817123413086, -22.21442222595215, -39.863277435302734, 10.419018745422363, 5.441450119018555, -29.526657104492188, -5.468916893005371, -10.916470527648926, -12.854395866394043, -10.037537574768066, -16.44032096862793, -3.686635971069336, -14.35895824432373, -12.86660385131836, -11.676382064819336, -9.482100486755371, 6.875820159912109, -11.270485877990723, -14.029358863830566)","(-35.9996337890625, -42.04840087890625, -3.613391637802124, -22.26325225830078, 4.4190802574157715, 7.440412521362305, -1.1261329650878906, -24.469741821289062, -25.714895248413086, -29.853206634521484, -21.436201095581055, -26.041444778442383, -10.88595199584961, -21.55827522277832, -19.464704513549805, -17.474899291992188, -13.483077049255371, -18.921476364135742, -13.470870018005371, -16.42811393737793)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.09277626872062683, 0.015259254723787308, 0.06866664439439774, 0.02075258642435074, 0.02075258642435074, 0.05081331729888916, 0.05081331729888916, 0.02075258642435074, 0.05081331729888916, 0.037690360099077225, 0.05081331729888916, 0.02075258642435074, 0.06866664439439774, 0.004577776417136192, 0.06866664439439774, 0.037690360099077225, 0.05081331729888916)","(0.016174810007214546, 0.020294809713959694, 0.016174810007214546, 0.025635547935962677, 0.012817773967981339, 0.022736290469765663, 0.01434369944036007, 0.01434369944036007, 0.020294809713959694, 0.020294809713959694, 0.01434369944036007, 0.020294809713959694, 0.01815851405262947, 0.020294809713959694, 0.01434369944036007, 0.022736290469765663, 0.008087405003607273, 0.022736290469765663, 0.01815851405262947, 0.020294809713959694)","(6.103701889514923e-05, 0.00013733329251408577, 4.577776417136192e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 7.629627361893654e-05, 3.0518509447574615e-05, 7.629627361893654e-05, 0.00012207403779029846, 0.00013733329251408577, 6.103701889514923e-05, 9.155552834272385e-05, 6.103701889514923e-05, 9.155552834272385e-05, 4.577776417136192e-05, 9.155552834272385e-05, 1.5259254723787308e-05, 0.00033570360392332077, 6.103701889514923e-05, 7.629627361893654e-05)","(21.600000381469727, 19.5, 21.799999237060547, 17.799999237060547, 23.799999237060547, 18.5, 22.200000762939453, 22.200000762939453, 19.399999618530273, 19.399999618530273, 23.0, 19.200000762939453, 20.600000381469727, 20.0, 22.799999237060547, 18.700000762939453, 27.5, 18.200000762939453, 20.299999237060547, 19.100000381469727)"
2023/08/08/18:11:19.628212,20,"(1, 1, 1)","(10.016175270080566, 14.195684432983398, 26.624347686767578)","(0.05330745875835419, 0.15915536880493164, -0.03998059406876564)","(-0.17085231840610504, -0.06452503800392151, 0.1843709498643875)","(0.0, 0.0, 0.0)","(-25.98040771484375, -8.658101081848145, -31.177709579467773)","(-19.7820987701416, -14.258247375488281, -22.977386474609375)","(0.10391552746295929, 0.1832636445760727, 0.4121524691581726)","(0.00030518509447574615, 0.0015259254723787308, 0.011291848495602608)","(0.0, 0.0, 0.000198370311409235)","(36.400001525878906, 29.899999618530273, 19.899999618530273)"
2023/08/08/18:11:19.669551,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.326974868774414, 9.183019638061523, 10.126041412353516, 11.925107955932617, 13.939329147338867, 14.204840660095215, 16.66310691833496, 18.21039390563965, 19.716482162475586, 20.581682205200195, 21.483505249023438, 22.147281646728516, 22.829370498657227, 23.520614624023438, 24.2164363861084, 25.621814727783203, 26.45954704284668, 26.67012596130371, 27.626880645751953, 28.27692413330078, 28.67061424255371, 29.398479461669922)","(-0.5475519895553589, -0.8519605994224548, 0.05436210334300995, -0.06883949041366577, 0.5243498086929321, -0.30114880204200745, -0.8890648484230042, -0.8066108822822571, -0.7129393219947815, -0.6726710796356201, -0.6354709267616272, 0.46854954957962036, -0.5579066872596741, -0.5717129111289978, -0.5298147797584534, -0.5052703619003296, -0.4888754189014435, -0.49597030878067017, -0.4539763033390045, 1.115525722503662, -0.4588660001754761, -0.42866483330726624)","(0.1874389946460724, -0.04745898023247719, 0.8654791712760925, 0.6956815123558044, -0.20920301973819733, 0.422049343585968, -0.07142815738916397, -0.015436152927577496, 0.049184758216142654, 0.08044057339429855, 0.11025823652744293, -0.25762075185775757, 0.17871421575546265, 0.16711312532424927, 0.20220401883125305, 0.2239680290222168, 0.23978768289089203, 0.23336395621299744, 0.2710435092449188, 0.19299985468387604, 0.26653730869293213, 0.29597145318984985)","(0.004577776417136192, 0.0, 0.0, -0.009155552834272385, 0.0, 0.0, 0.0, -0.004577776417136192, 0.0, 0.004577776417136192, 0.004577776417136192, 0.009155552834272385, -0.02288888208568096, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.009155552834272385, 0.0, 0.0)","(-28.87661361694336, -25.81865882873535, -22.27545928955078, -38.34345626831055, 10.364086151123047, 5.465865135192871, -5.032502174377441, -11.841181755065918, -10.419018745422363, -16.391490936279297, -12.817773818969727, -18.970306396484375, -4.922635555267334, -16.794336318969727, -19.406721115112305, -13.409832954406738, -10.904263496398926, -10.34272289276123, -10.559404373168945, 9.884944915771484, -8.09045696258545, -13.11380386352539)","(-36.075931549072266, -43.018890380859375, -3.6744284629821777, -27.74437713623047, 4.364146709442139, 7.464827537536621, -24.43311882019043, -27.442243576049805, -21.619312286376953, -25.79119300842285, -22.22052764892578, -23.76781463623047, -11.923582077026367, -23.99365234375, -26.20624351501465, -19.409772872924805, -16.70583152770996, -15.942869186401367, -14.35895824432373, -16.510513305664062, -12.09143352508545, -15.710928916931152)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.06866664439439774, 0.015259254723787308, 0.06866664439439774, 0.015259254723787308, 0.09277626872062683, 0.02075258642435074, 0.02075258642435074, 0.027924437075853348, 0.02075258642435074, 0.06866664439439774, 0.06866664439439774, 0.09277626872062683, 0.02075258642435074, 0.05081331729888916, 0.037690360099077225, 0.006256294436752796, 0.05081331729888916, 0.006256294436752796, 0.05081331729888916)","(0.017700735479593277, 0.02227851189672947, 0.017700735479593277, 0.024872586131095886, 0.014038514345884323, 0.024872586131095886, 0.014038514345884323, 0.027924437075853348, 0.0157170332968235, 0.0157170332968235, 0.017700735479593277, 0.0157170332968235, 0.024872586131095886, 0.024872586131095886, 0.027924437075853348, 0.0157170332968235, 0.02227851189672947, 0.0198370311409235, 0.00991851557046175, 0.02227851189672947, 0.00991851557046175, 0.02227851189672947)","(6.103701889514923e-05, 0.00013733329251408577, 4.577776417136192e-05, 7.629627361893654e-05, 3.0518509447574615e-05, 7.629627361893654e-05, 6.103701889514923e-05, 0.000198370311409235, 6.103701889514923e-05, 4.577776417136192e-05, 6.103701889514923e-05, 4.577776417136192e-05, 0.00010681478306651115, 0.00010681478306651115, 0.00012207403779029846, 4.577776417136192e-05, 7.629627361893654e-05, 6.103701889514923e-05, 1.5259254723787308e-05, 0.00030518509447574615, 1.5259254723787308e-05, 7.629627361893654e-05)","(21.700000762939453, 19.100000381469727, 21.700000762939453, 18.5, 23.799999237060547, 18.5, 23.299999237060547, 18.0, 22.0, 22.0, 21.299999237060547, 22.100000381469727, 18.700000762939453, 18.799999237060547, 17.700000762939453, 22.399999618530273, 19.299999237060547, 20.799999237060547, 26.299999237060547, 19.399999618530273, 26.600000381469727, 19.399999618530273)"
2023/08/08/18:11:19.708257,20,"(1, 1, 1)","(10.020752906799316, 14.195684432983398, 26.67928123474121)","(0.053499214351177216, 0.15915536880493164, -0.040076471865177155)","(-0.1705646961927414, -0.06452503800392151, 0.1842750608921051)","(0.0, 0.0, 0.0)","(-25.99871826171875, -8.655049324035645, -30.23773956298828)","(-19.7973575592041, -14.255195617675781, -22.037416458129883)","(0.10391552746295929, 0.1832636445760727, 0.3801080286502838)","(0.00030518509447574615, 0.0013733329251408577, 0.008545182645320892)","(0.0, 0.0, 0.00013733329251408577)","(36.5, 29.700000762939453, 20.700000762939453)"
