time,.id,.scantype,.range,.azimuth1,.azimuth2,.VrelRad,.RCS1,.RCS2,.rangevar,.vrelradvar,.azimuthvar,.SNR
2023/08/08/18:22:21.671240,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34070873260498, 9.178442001342773, 10.121463775634766, 11.719107627868652, 13.431196212768555, 14.77706241607666, 16.66310691833496, 17.638172149658203, 18.366039276123047, 19.492172241210938, 20.050661087036133, 21.057771682739258, 22.25714874267578, 22.646259307861328, 23.28257179260254, 25.067903518676758, 26.766258239746094, 28.23114776611328, 28.981903076171875, 29.888301849365234)","(-0.5509076714515686, -0.8487966656684875, 0.054074473679065704, -0.04889712855219841, -0.26797544956207275, -1.0851327180862427, -0.8938587307929993, -0.8047892451286316, -0.7286630868911743, -0.7331693172454834, -0.675930917263031, -0.6728628277778625, -0.582067608833313, -0.7258827090263367, -0.5874366760253906, 0.23326806724071503, -0.4929981231689453, -0.46068766713142395, -0.422049343585968, -0.4335545599460602)","(0.18456269800662994, -0.045349691063165665, 0.8649998307228088, 0.7211847305297852, 0.4571402370929718, -0.18005648255348206, -0.07440033555030823, -0.01418975554406643, -0.3217622935771942, 0.03346097841858864, 0.07775602489709854, 0.08024881780147552, 0.1581965982913971, 0.03930945694446564, 0.15340276062488556, 1.215045690536499, 0.23604850471019745, 0.2649073898792267, 0.3015322983264923, 0.2912735044956207)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01831110566854477, 0.009155552834272385, 0.0, 0.004577776417136192, 0.0, 0.009155552834272385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-29.14517593383789, -25.354778289794922, -21.83294105529785, -39.237648010253906, -34.22345733642578, 2.1729178428649902, -4.333628177642822, -18.369091033935547, -20.319223403930664, -15.195165634155273, -9.924619674682617, -11.429182052612305, -14.941862106323242, -15.747550964355469, -8.465834617614746, 23.902095794677734, -5.877864837646484, -7.971434593200684, -15.692617416381836, -13.528855323791504)","(-36.3444938659668, -42.55500793457031, -3.231910228729248, -27.637561798095703, -30.02410888671875, -24.622333526611328, -23.935667037963867, -33.76873016357422, -28.71791648864746, -26.993621826171875, -19.525741577148438, -20.828882217407227, -22.540971755981445, -27.347637176513672, -16.46778678894043, 53.10220718383789, -11.676382064819336, -11.969359397888184, -17.691579818725586, -16.129032135009766)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.06866664439439774, 0.037690360099077225, 0.037690360099077225, 0.015259254723787308, 0.16891995072364807, 0.09277626872062683, 0.027924437075853348, 0.006256294436752796, 0.006256294436752796, 0.027924437075853348, 0.05081331729888916, 0.004577776417136192, 0.027924437075853348, 0.037690360099077225, 0.00839259009808302, 0.06866664439439774, 0.09277626872062683)","(0.0158696249127388, 0.019989624619483948, 0.0158696249127388, 0.022431105375289917, 0.017853328958153725, 0.017853328958153725, 0.012665181420743465, 0.0317392498254776, 0.025177771225571632, 0.0158696249127388, 0.009002960287034512, 0.009002960287034512, 0.0158696249127388, 0.019989624619483948, 0.0079348124563694, 0.0158696249127388, 0.017853328958153725, 0.010071108117699623, 0.022431105375289917, 0.025177771225571632)","(6.103701889514923e-05, 0.00013733329251408577, 4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05, 0.00022888882085680962, 6.103701889514923e-05, 0.00028992583975195885, 0.00016785180196166039, 7.629627361893654e-05, 1.5259254723787308e-05, 1.5259254723787308e-05, 6.103701889514923e-05, 0.00010681478306651115, 1.5259254723787308e-05, 4.577776417136192e-05, 6.103701889514923e-05, 1.5259254723787308e-05, 9.155552834272385e-05, 0.00010681478306651115)","(21.600000381469727, 19.5, 21.600000381469727, 18.5, 20.799999237060547, 20.399999618530273, 24.0, 15.699999809265137, 17.299999237060547, 21.5, 26.5, 26.700000762939453, 21.200000762939453, 19.299999237060547, 27.5, 21.899999618530273, 20.5, 25.700000762939453, 18.600000381469727, 17.600000381469727)"
2023/08/08/18:22:21.699902,20,"(1, 1, 1, 1, 1)","(10.029908180236816, 13.499862670898438, 14.511550903320312, 25.12741470336914, 25.365459442138672)","(0.05321158096194267, -0.1790977269411087, -0.048609498888254166, 0.0064237406477332115, -0.1511017233133316)","(-0.17094820737838745, 0.045157939195632935, 0.1751667708158493, -0.21898244321346283, 0.07219517230987549)","(0.0, 0.0, 0.0, 0.0, 0.0)","(-25.608081817626953, -27.8267765045166, -40.60487747192383, -0.20752586424350739, 14.389476776123047)","(-19.409772872924805, -35.026092529296875, -33.40250778198242, 11.587878227233887, 10.190130233764648)","(0.10391552746295929, 0.23361918330192566, 0.3801080286502838, 0.3231910169124603, 0.3231910169124603)","(0.00045777764171361923, 0.0027466658502817154, 0.009308145381510258, 0.006256294436752796, 0.006256294436752796)","(0.0, 1.5259254723787308e-05, 0.00013733329251408577, 6.103701889514923e-05, 6.103701889514923e-05)","(36.5, 26.700000762939453, 20.5, 22.600000381469727, 22.899999618530273)"
2023/08/08/18:22:21.741063,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34070873260498, 9.20590877532959, 10.121463775634766, 11.746574401855469, 13.431196212768555, 14.722128868103027, 16.66310691833496, 18.572038650512695, 20.036928176879883, 21.034883499145508, 22.609638214111328, 23.497726440429688, 25.058748245239258, 26.725059509277344, 28.139591217041016, 28.382213592529297, 29.7875919342041)","(-0.5470725893974304, -0.8647121787071228, 0.054266225546598434, -0.05810129642486572, -0.26922184228897095, -0.18139876425266266, -0.8929958343505859, -0.7414147257804871, -0.6802453398704529, -0.6745886206626892, -0.6134192943572998, -0.5656726956367493, 0.23345983028411865, -0.5006682872772217, -0.462317556142807, -0.4520587623119354, -0.42617204785346985)","(0.18782250583171844, -0.05397859588265419, 0.8652874231338501, -0.871135950088501, 0.4557020664215088, -1.0880091190338135, -0.07392095774412155, 0.028283633291721344, 0.07430446147918701, 0.0788106694817543, 0.12981708347797394, 0.1724822223186493, 1.2155251502990723, 0.2279948592185974, 0.26337337493896484, 0.27257752418518066, 0.298368364572525)","(0.0, 0.004577776417136192, 0.0, 0.009155552834272385, 0.004577776417136192, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.009155552834272385, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192)","(-28.626361846923828, -24.494155883789062, -21.942808151245117, -39.53977966308594, -34.56221008300781, -26.18488121032715, -3.9643542766571045, -16.2144832611084, -9.98870849609375, -10.730307579040527, -9.012115478515625, -9.9002046585083, 23.874629974365234, -9.421063423156738, -6.564531326293945, -5.316324234008789, -10.507522583007812)","(-35.825679779052734, -42.094181060791016, -3.3417768478393555, -21.939756393432617, -30.362865447998047, 0.6103702187538147, -23.361919403076172, -28.2143611907959, -19.58983039855957, -20.130008697509766, -18.01202392578125, -17.10257339477539, 53.07474136352539, -15.21958065032959, -10.565507888793945, -8.917508125305176, -12.707907676696777)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.05081331729888916, 0.011291848495602608, 0.037690360099077225, 0.00839259009808302, 0.006256294436752796, 0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.05081331729888916, 0.006256294436752796, 0.004577776417136192, 0.05081331729888916)","(0.01739555038511753, 0.021973326802253723, 0.01739555038511753, 0.02456740103662014, 0.01739555038511753, 0.021973326802253723, 0.01235999632626772, 0.019531846046447754, 0.010986663401126862, 0.009765923023223877, 0.01739555038511753, 0.021973326802253723, 0.01739555038511753, 0.021973326802253723, 0.009765923023223877, 0.008697775192558765, 0.021973326802253723)","(6.103701889514923e-05, 0.00015259254723787308, 4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05, 6.103701889514923e-05, 4.577776417136192e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 1.5259254723787308e-05, 6.103701889514923e-05, 9.155552834272385e-05, 4.577776417136192e-05, 7.629627361893654e-05, 1.5259254723787308e-05, 1.5259254723787308e-05, 7.629627361893654e-05)","(21.899999618530273, 19.799999237060547, 21.799999237060547, 18.5, 21.0, 19.899999618530273, 24.399999618530273, 20.700000762939453, 25.0, 27.0, 21.0, 19.600000381469727, 21.899999618530273, 19.200000762939453, 26.399999618530273, 27.100000381469727, 19.799999237060547)"
2023/08/08/18:22:21.780216,20,"(1, 1, 1, 1, 1)","(10.039063453674316, 13.499862670898438, 14.278084754943848, 25.13199234008789, 25.370037078857422)","(0.05301982909440994, -0.1796729862689972, -0.0494723916053772, 0.0064237406477332115, -0.1510058492422104)","(-0.17104408144950867, 0.04467855393886566, 0.17430388927459717, -0.21907831728458405, 0.0722910538315773)","(0.0, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0)","(-25.672170639038086, -27.76879119873047, -41.10843276977539, -0.26551103591918945, 14.368114471435547)","(-19.470809936523438, -34.968109130859375, -33.909114837646484, 11.532944679260254, 10.168766975402832)","(0.10391552746295929, 0.2534562349319458, 0.3801080286502838, 0.3231910169124603, 0.3231910169124603)","(0.00030518509447574615, 0.0032044434919953346, 0.008545182645320892, 0.005798516795039177, 0.005798516795039177)","(0.0, 3.0518509447574615e-05, 0.00013733329251408577, 6.103701889514923e-05, 6.103701889514923e-05)","(36.5, 25.399999618530273, 20.100000381469727, 22.5, 22.899999618530273)"
2023/08/08/18:22:21.812010,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.33155345916748, 9.251686096191406, 10.121463775634766, 11.783196449279785, 13.422040939331055, 14.740440368652344, 16.68141746520996, 17.638172149658203, 18.45301628112793, 19.240394592285156, 20.2154598236084, 20.833459854125977, 22.26172637939453, 22.66914939880371, 23.520614624023438, 25.067903518676758, 26.70674705505371, 28.139591217041016, 28.386791229248047, 29.943235397338867)","(-0.5455385446548462, -0.8551245331764221, 0.05417035147547722, -0.05848480388522148, -0.2645238935947418, -0.17756369709968567, -0.8889690041542053, -0.00038350690738298, -0.7561797499656677, -0.7745880484580994, -0.6709453463554382, -0.6819711327552795, -0.5924223065376282, -0.6079543232917786, -0.5841768980026245, 0.23326806724071503, -0.48667025566101074, -0.45685258507728577, -0.4428545832633972, -0.4246380031108856)","(0.18916477262973785, -0.04956826567649841, 0.8652874231338501, -0.8716152906417847, 0.46116703748703003, -1.0786131620407104, -0.07133228331804276, -0.7833128571510315, 0.01783307082951069, 0.005464973393827677, 0.08149521797895432, 0.072962187230587, 0.1491841822862625, 0.13422740995883942, 0.1568543165922165, 1.215045690536499, 0.24208873510360718, 0.2683589458465576, 0.28168582916259766, 0.29923126101493835)","(0.004577776417136192, 0.0, 0.0, 0.0, -0.009155552834272385, 0.004577776417136192, 0.0, 0.013733329251408577, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009155552834272385, 0.004577776417136192, 0.0, -0.004577776417136192)","(-28.910184860229492, -24.45448112487793, -21.79021644592285, -39.80529022216797, -34.717857360839844, -26.02923583984375, -3.91552472114563, -33.188880920410156, -17.069002151489258, -18.070009231567383, -14.313180923461914, -7.873775482177734, -11.780144691467285, -8.79543399810791, -15.10971450805664, 23.9967041015625, -7.116916179656982, -7.83104944229126, -6.4973907470703125, -14.462721824645996)","(-36.109500885009766, -42.05450439453125, -3.1891841888427734, -22.20526695251465, -30.317087173461914, 0.5676442980766296, -23.31614112854004, -18.787195205688477, -29.468671798706055, -31.867427825927734, -23.914304733276367, -17.673269271850586, -19.98046875, -17.593921661376953, -22.910245895385742, 53.196815490722656, -12.717062950134277, -11.630603790283203, -9.695730209350586, -16.66310691833496)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.09277626872062683, 0.037690360099077225, 0.037690360099077225, 0.015259254723787308, 0.16891995072364807, 0.06866664439439774, 0.12512588500976562, 0.011291848495602608, 0.011291848495602608, 0.00839259009808302, 0.015259254723787308, 0.06866664439439774, 0.02075258642435074, 0.05081331729888916, 0.00839259009808302, 0.015259254723787308, 0.06866664439439774)","(0.019531846046447754, 0.024414807558059692, 0.019531846046447754, 0.03082369454205036, 0.021820735186338425, 0.021820735186338425, 0.01541184727102518, 0.03875850886106491, 0.027466658502817154, 0.034485917538404465, 0.013733329251408577, 0.013733329251408577, 0.01235999632626772, 0.01541184727102518, 0.027466658502817154, 0.01739555038511753, 0.024414807558059692, 0.01235999632626772, 0.01541184727102518, 0.027466658502817154)","(6.103701889514923e-05, 0.00013733329251408577, 4.577776417136192e-05, 9.155552834272385e-05, 4.577776417136192e-05, 4.577776417136192e-05, 6.103701889514923e-05, 0.00013733329251408577, 0.00013733329251408577, 0.00022888882085680962, 3.0518509447574615e-05, 3.0518509447574615e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 0.00010681478306651115, 3.0518509447574615e-05, 7.629627361893654e-05, 1.5259254723787308e-05, 3.0518509447574615e-05, 9.155552834272385e-05)","(22.0, 19.600000381469727, 21.700000762939453, 17.700000762939453, 20.700000762939453, 20.200000762939453, 23.299999237060547, 15.600000381469727, 18.299999237060547, 17.0, 24.299999237060547, 24.299999237060547, 25.600000381469727, 23.600000381469727, 18.600000381469727, 22.100000381469727, 19.5, 25.700000762939453, 24.0, 18.5)"
2023/08/08/18:22:21.850056,20,"(1, 1, 1, 1, 1)","(10.016175270080566, 13.499862670898438, 14.159062385559082, 25.14572525024414, 25.383769989013672)","(0.05321158096194267, -0.17919360101222992, -0.048417747020721436, 0.006327863782644272, -0.1511017233133316)","(-0.17094820737838745, 0.045157939195632935, 0.17545440793037415, -0.21907831728458405, 0.0722910538315773)","(0.0, 0.0, 0.0, 0.0, 0.0)","(-25.614185333251953, -27.8176212310791, -41.47465515136719, -0.2380443811416626, 14.365062713623047)","(-19.412824630737305, -35.016937255859375, -34.27533721923828, 11.56041145324707, 10.165715217590332)","(0.10391552746295929, 0.23361918330192566, 0.3801080286502838, 0.3231910169124603, 0.3231910169124603)","(0.00030518509447574615, 0.002288888208568096, 0.007782219909131527, 0.005188146606087685, 0.005188146606087685)","(0.0, 1.5259254723787308e-05, 0.00013733329251408577, 6.103701889514923e-05, 6.103701889514923e-05)","(36.5, 26.0, 20.299999237060547, 22.399999618530273, 23.0)"
2023/08/08/18:22:21.891616,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34528636932373, 10.121463775634766, 11.737419128417969, 13.458662986755371, 14.726706504821777, 16.68141746520996, 18.544572830200195, 20.01861572265625, 22.380748748779297, 23.433637619018555, 25.063325881958008, 26.761680603027344, 28.519546508789062, 29.7967472076416)","(-0.5460179448127747, 0.054266225546598434, -0.06586731225252151, -0.2747826874256134, -1.0910770893096924, -0.892324686050415, -0.739497184753418, -0.6809164881706238, -0.603256344795227, -0.5735345482826233, 0.2331721931695938, -0.5016270279884338, -0.43202051520347595, -0.4324999153614044)","(0.188781276345253, 0.8653833270072937, -0.8816823363304138, 0.4491824507713318, -0.182261660695076, -0.07344157248735428, 0.029146524146199226, 0.07372920215129852, 0.13921301066875458, 0.1653873473405838, 1.2147581577301025, 0.22713196277618408, 0.29280751943588257, 0.2922322452068329)","(0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013733329251408577, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.004577776417136192)","(-28.617206573486328, -21.78716468811035, -39.9578857421875, -34.23871612548828, 1.5442365407943726, -4.181035995483398, -19.495223999023438, -8.44447135925293, -10.998870849609375, -9.344767570495605, 23.8166446685791, -6.479079723358154, -9.622486114501953, -8.78322696685791)","(-35.819576263427734, -3.1861324310302734, -21.158483505249023, -30.23773956298828, -25.254066467285156, -23.58165168762207, -31.495101928710938, -18.24396514892578, -19.598987579345703, -16.745506286621094, 53.016754150390625, -12.479018211364746, -12.222662925720215, -11.383403778076172)","(0.027924437075853348, 0.027924437075853348, 0.06866664439439774, 0.037690360099077225, 0.037690360099077225, 0.011291848495602608, 0.09277626872062683, 0.00839259009808302, 0.00839259009808302, 0.027924437075853348, 0.02075258642435074, 0.037690360099077225, 0.05081331729888916, 0.06866664439439774)","(0.016174810007214546, 0.016174810007214546, 0.02288888208568096, 0.01815851405262947, 0.01815851405262947, 0.01144444104284048, 0.025635547935962677, 0.010223700664937496, 0.010223700664937496, 0.016174810007214546, 0.014496291987597942, 0.01815851405262947, 0.020447401329874992, 0.02288888208568096)","(6.103701889514923e-05, 4.577776417136192e-05, 7.629627361893654e-05, 4.577776417136192e-05, 0.00022888882085680962, 4.577776417136192e-05, 0.00016785180196166039, 3.0518509447574615e-05, 3.0518509447574615e-05, 6.103701889514923e-05, 3.0518509447574615e-05, 6.103701889514923e-05, 7.629627361893654e-05, 9.155552834272385e-05)","(21.899999618530273, 21.5, 18.100000381469727, 20.5, 20.299999237060547, 24.200000762939453, 17.899999618530273, 25.700000762939453, 25.0, 21.399999618530273, 22.0, 20.600000381469727, 19.200000762939453, 18.5)"
2023/08/08/18:22:21.930218,20,"(1, 1, 1, 1, 1)","(10.029908180236816, 13.499862670898438, 14.33759593963623, 25.360881805419922, 25.12741470336914)","(0.05321158096194267, -0.17861834168434143, -0.04908888414502144, -0.1510058492422104, 0.0064237406477332115)","(-0.17094820737838745, 0.04563732072710991, 0.17468740046024323, 0.0722910538315773, -0.21898244321346283)","(0.0, 0.004577776417136192, 0.0, 0.0, 0.0)","(-25.626392364501953, -27.912229537963867, -40.784934997558594, 14.365062713623047, -0.2380443811416626)","(-19.425031661987305, -35.11154556274414, -33.58562088012695, 10.165715217590332, 11.55735969543457)","(0.10391552746295929, 0.2534562349319458, 0.3505050837993622, 0.3231910169124603, 0.3231910169124603)","(0.00030518509447574615, 0.0033570360392332077, 0.007477034814655781, 0.006103701889514923, 0.006103701889514923)","(0.0, 3.0518509447574615e-05, 9.155552834272385e-05, 6.103701889514923e-05, 6.103701889514923e-05)","(36.5, 25.899999618530273, 21.0, 22.899999618530273, 22.5)"
2023/08/08/18:22:21.971218,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.308664321899414, 9.22421932220459, 10.112308502197266, 11.737419128417969, 13.481551170349121, 14.717551231384277, 16.640216827392578, 18.44843864440918, 19.57914924621582, 21.025726318359375, 22.399059295654297, 23.415327072143555, 25.054170608520508, 26.789148330688477, 28.341012954711914, 28.981903076171875, 29.970703125)","(-0.5479354858398438, -0.8635616898536682, 0.054074473679065704, -0.055512625724077225, -0.27133113145828247, -0.18120701611042023, -0.8927081823348999, -0.744003415107727, -0.6929969787597656, -0.6721917390823364, -0.6035439968109131, -0.6004759073257446, 0.23230931162834167, -0.49654555320739746, -0.4565649628639221, -0.42300811409950256, -0.4348968267440796)","(0.18705548346042633, -0.05321158096194267, 0.8650956749916077, -0.8670132160186768, 0.45301753282546997, -1.0875296592712402, -0.07372920215129852, 0.026461975648999214, 0.06510029733181, 0.08082407712936401, 0.13892537355422974, 0.14208930730819702, 1.2128405570983887, 0.23221342265605927, 0.26864659786224365, 0.300669401884079, 0.28945183753967285)","(0.004577776417136192, 0.0, 0.0, -0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.009155552834272385, 0.0, 0.0)","(-28.943754196166992, -24.89394760131836, -21.83904457092285, -39.838863372802734, -34.00372314453125, -25.29679298400879, -4.095583915710449, -13.541062355041504, -13.611255645751953, -12.158574104309082, -10.034485816955566, -14.023255348205566, 23.664052963256836, -6.61641263961792, -9.637744903564453, -15.89404010772705, -10.35798168182373)","(-36.143070220947266, -42.49397277832031, -3.238013744354248, -22.23883819580078, -29.80437660217285, 1.5015106201171875, -23.496200561523438, -25.54094123840332, -24.011962890625, -21.55827522277832, -18.634601593017578, -22.623371124267578, 52.86416244506836, -12.216559410095215, -13.437299728393555, -18.094425201416016, -12.958159446716309)","(0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.09277626872062683, 0.027924437075853348, 0.037690360099077225, 0.015259254723787308, 0.02075258642435074, 0.05081331729888916, 0.00839259009808302, 0.00839259009808302, 0.02075258642435074, 0.02075258642435074, 0.027924437075853348, 0.00839259009808302, 0.05081331729888916, 0.037690360099077225)","(0.01754814386367798, 0.024872586131095886, 0.01754814386367798, 0.027924437075853348, 0.01754814386367798, 0.0196844395250082, 0.014038514345884323, 0.0157170332968235, 0.02212592028081417, 0.011139255948364735, 0.011139255948364735, 0.0157170332968235, 0.0157170332968235, 0.01754814386367798, 0.011139255948364735, 0.02212592028081417, 0.0196844395250082)","(6.103701889514923e-05, 0.0001831110566854477, 4.577776417136192e-05, 9.155552834272385e-05, 4.577776417136192e-05, 4.577776417136192e-05, 6.103701889514923e-05, 6.103701889514923e-05, 0.00010681478306651115, 3.0518509447574615e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 7.629627361893654e-05, 6.103701889514923e-05)","(21.399999618530273, 18.899999618530273, 21.299999237060547, 17.899999618530273, 21.600000381469727, 20.600000381469727, 23.399999618530273, 22.600000381469727, 19.5, 25.899999618530273, 25.299999237060547, 22.700000762939453, 22.0, 21.299999237060547, 25.5, 19.200000762939453, 20.0)"
2023/08/08/18:22:22.000017,20,"(1, 1, 1, 1, 1)","(10.016175270080566, 13.499862670898438, 14.33301830291748, 25.12741470336914, 25.370037078857422)","(0.05330745875835419, -0.17881008982658386, -0.05033528059720993, 0.006519617512822151, -0.1510058492422104)","(-0.17075644433498383, 0.04544556885957718, 0.17363275587558746, -0.21898244321346283, 0.0722910538315773)","(0.0, 0.0, 0.0, 0.0, 0.0)","(-25.638599395751953, -27.8359317779541, -41.15115737915039, -0.1983703076839447, 14.32844066619873)","(-19.437238693237305, -35.038299560546875, -33.95184326171875, 11.600085258483887, 10.129093170166016)","(0.10391552746295929, 0.23361918330192566, 0.3801080286502838, 0.3231910169124603, 0.3231910169124603)","(0.00030518509447574615, 0.0025940733030438423, 0.008545182645320892, 0.005798516795039177, 0.005798516795039177)","(0.0, 1.5259254723787308e-05, 0.00013733329251408577, 6.103701889514923e-05, 6.103701889514923e-05)","(36.5, 26.299999237060547, 20.5, 22.600000381469727, 22.899999618530273)"
